epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.46268656849861145,0.4153297543525696,0.0010000000474974513,0.7705220580101013,0.4375,0.20588235557079315,0.29411765933036804,0.2083333134651184,0.7996442317962646,0.30000001192092896,0.375
1,0.5223880410194397,0.5989304780960083,0.0010000000474974513,0.6769335269927979,0.52173912525177,0.7058823704719543,0.4117647111415863,0.4027777910232544,0.7692215442657471,0.4375,0.875
2,0.6716417670249939,0.7183600664138794,0.0010000000474974513,0.6260178685188293,0.625,0.8823529481887817,0.5882353186607361,0.5555555820465088,0.7392948865890503,0.5333333611488342,1.0
3,0.7014925479888916,0.8092691898345947,0.0010000000474974513,0.5829607248306274,0.6590909361839294,0.8529411554336548,0.5882353186607361,0.625,0.702261745929718,0.5333333611488342,1.0
4,0.7761194109916687,0.8845810890197754,0.0010000000474974513,0.5223076939582825,0.7317073345184326,0.8823529481887817,0.6470588445663452,0.6944444179534912,0.6703004240989685,0.5714285969734192,1.0
5,0.8656716346740723,0.9434046745300293,0.0010000000474974513,0.44948434829711914,0.8205128312110901,0.9411764740943909,0.7058823704719543,0.743055522441864,0.6382995843887329,0.6153846383094788,1.0
6,0.7910447716712952,0.9117646813392639,0.0010000000474974513,0.45523709058761597,0.7631579041481018,0.8529411554336548,0.7058823704719543,0.7777777910232544,0.6107230186462402,0.6153846383094788,1.0
7,0.8358209133148193,0.9264705777168274,0.0010000000474974513,0.414493203163147,0.8285714387893677,0.8529411554336548,0.7058823704719543,0.8055555820465088,0.5968112945556641,0.6153846383094788,1.0
8,0.89552241563797,0.9643493890762329,0.0010000000474974513,0.37729647755622864,0.8857142925262451,0.9117646813392639,0.7058823704719543,0.8541666269302368,0.5894460678100586,0.6153846383094788,1.0
9,0.8656716346740723,0.9670231342315674,0.0010000000474974513,0.3758343458175659,0.8205128312110901,0.9411764740943909,0.7058823704719543,0.8611111044883728,0.5842040181159973,0.6153846383094788,1.0
10,0.9104477763175964,0.9924242496490479,0.0010000000474974513,0.331870973110199,0.8500000238418579,1.0,0.7058823704719543,0.8958333730697632,0.5575699806213379,0.6153846383094788,1.0
11,0.8507462739944458,0.9719250798225403,0.0010000000474974513,0.3649144470691681,0.7857142686843872,0.970588207244873,0.7058823704719543,0.9166666865348816,0.5283353328704834,0.6153846383094788,1.0
12,0.9104477763175964,0.979946494102478,0.0010000000474974513,0.313301146030426,0.8888888955116272,0.9411764740943909,0.7647058963775635,0.9166666865348816,0.5066271424293518,0.6666666865348816,1.0
13,0.9253731369972229,0.9830659627914429,0.0010000000474974513,0.30438271164894104,0.9142857193946838,0.9411764740943909,0.7647058963775635,0.930555522441864,0.5100843906402588,0.6666666865348816,1.0
14,0.9402984976768494,0.9884135127067566,0.0010000000474974513,0.2780510187149048,0.8947368264198303,1.0,0.7058823704719543,0.9305555820465088,0.5187115669250488,0.6153846383094788,1.0
