epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.66847825050354,0.8982194066047668,9.999999747378752e-06,0.5939157605171204,0.4678899049758911,0.9444444179534912,0.6739130616188049,0.9195803999900818,0.6208240389823914,0.4642857015132904,1.0
1,0.6739130616188049,0.902279257774353,9.999999747378752e-06,0.5633823275566101,0.4727272689342499,0.9629629850387573,0.6304348111152649,0.9347319006919861,0.6473132967948914,0.4333333373069763,1.0
2,0.695652186870575,0.8930911421775818,9.999999747378752e-06,0.5743118524551392,0.49056604504585266,0.9629629850387573,0.6521739363670349,0.9335663914680481,0.6625229120254517,0.4482758641242981,1.0
3,0.695652186870575,0.9262821078300476,9.999999747378752e-06,0.5499548316001892,0.49038460850715637,0.9444444179534912,0.6521739363670349,0.9324009418487549,0.6292676329612732,0.4482758641242981,1.0
4,0.739130437374115,0.8894587159156799,4.999999873689376e-06,0.5504319071769714,0.5319148898124695,0.9259259104728699,0.6739130616188049,0.9347319602966309,0.6326372027397156,0.4642857015132904,1.0
5,0.7554348111152649,0.9123932123184204,4.999999873689376e-06,0.5260045528411865,0.5483871102333069,0.9444444179534912,0.6739130616188049,0.9289044141769409,0.6144782304763794,0.4642857015132904,1.0
6,0.7445651888847351,0.9000712633132935,4.999999873689376e-06,0.536217212677002,0.5368421077728271,0.9444444179534912,0.695652186870575,0.9207459092140198,0.6197860836982727,0.48148149251937866,1.0
7,0.760869562625885,0.9245727062225342,4.999999873689376e-06,0.5112506747245789,0.554347813129425,0.9444444179534912,0.6739130616188049,0.9393939971923828,0.6043122410774231,0.4642857015132904,1.0
8,0.77173912525177,0.93304842710495,4.999999873689376e-06,0.5014590620994568,0.5652173757553101,0.9629629850387573,0.6521739363670349,0.9242424368858337,0.6262146830558777,0.4482758641242981,1.0
9,0.75,0.9084045886993408,4.999999873689376e-06,0.5044124722480774,0.5454545617103577,0.8888888955116272,0.695652186870575,0.9382284879684448,0.6162819266319275,0.48148149251937866,1.0
